frame_idx,read_time,color_ts,depth_ts,ts_diff_ms,color_frame_num,depth_frame_num,is_desync,depth_mean,loop_time_ms
0,0.04393804500000442,1769159056760.2627,1769159055445.879,1314.3837890625,34,6,True,643.8027111016595,44.568934999915655
1,0.1730457959999967,1769159056889.6704,1769159056889.6538,0.0166015625,38,4,False,662.3473513950668,0.5800799999633455
2,0.3015855159999319,1769159057018.6238,1769159057018.6074,0.016357421875,42,8,False,659.9509497318314,0.38622700003543287
3,0.42238656800009267,1769159057115.211,1769159057115.1946,0.016357421875,45,11,False,664.7516058028231,0.3547280000475439
4,0.5395800109999982,1769159057243.85,1769159057243.8337,0.016357421875,49,15,False,663.7390422284158,0.3453130000252713
5,0.658940111999982,1769159057340.4043,1769159057340.388,0.016357421875,52,18,False,659.3551072977631,0.35686299997905735
6,0.7688695239999106,1769159057469.2874,1769159057469.271,0.016357421875,56,22,False,662.495986970378,0.45981900007063814
7,0.8793914749999203,1769159057565.9802,1769159057565.9636,0.0166015625,59,25,False,662.6384810185854,0.5886530000225321
8,0.990246174000049,1769159057662.7686,1769159057662.7522,0.016357421875,62,28,False,664.0672231260758,0.4304909998609219
9,1.10166591899997,1769159057791.9944,1769159057791.978,0.016357421875,66,32,False,667.2660735948241,0.3993309999259509
10,1.2135470959999566,1769159057888.7034,1769159057888.687,0.016357421875,69,35,False,661.8883383893399,0.34971700006281026
11,1.323659293999981,1769159057985.003,1769159057984.9866,0.016357421875,72,38,False,662.6230222890604,0.34357899994574836
12,1.4366667199999483,1769159058112.7651,1769159058112.749,0.01611328125,76,42,False,663.4671325557231,0.36609200014936505
13,1.5481412999999975,1769159058208.1094,1769159058208.0933,0.01611328125,79,45,False,643.3931651699303,0.33535499983372574
14,1.6551059819998954,1769159058303.044,1769159058303.028,0.015869140625,82,48,False,642.6260596954648,0.39713000001029286
15,1.7647690809999403,1769159058397.5693,1769159058397.5532,0.01611328125,85,51,False,642.9530494105089,3.5492649999468995
16,1.8761870769999405,1769159058522.9663,1769159058522.9502,0.01611328125,89,55,False,641.3813029302602,0.3306769999653625
17,1.9814024939998944,1769159058616.5361,1769159058616.5203,0.015869140625,92,58,False,641.4624831004958,0.40659399996911816
18,2.0918014260000746,1769159058712.1184,1769159058712.1013,0.01708984375,95,61,False,638.7979887940271,0.3358129999924131
19,2.2020950450000782,1769159058845.607,1769159058845.59,0.016845703125,99,65,False,641.736238312647,0.41992199999185686
20,2.3124681960000544,1769159058945.7192,1769159058945.7021,0.01708984375,102,68,False,642.5811902460351,0.32837899993864994
21,2.4228224660000706,1769159059045.828,1769159059045.8108,0.01708984375,105,71,False,642.5288753591697,0.34645599998839316
22,2.528884380999898,1769159059145.9326,1769159059145.9158,0.016845703125,108,74,False,642.2225117640621,0.3655789998902037
23,2.6402005649999865,1769159059279.4004,1769159059279.3833,0.01708984375,112,78,False,643.9186886612307,0.42540799995549605
24,2.7504395690000365,1769159059379.4966,1769159059379.4797,0.016845703125,115,81,False,643.6220291161984,0.3367629999502242
25,2.8572332339999775,1769159059479.5894,1769159059479.5725,0.016845703125,118,84,False,642.7569733647896,0.3382310001143196
26,2.9691725049999604,1769159059613.0408,1769159059613.024,0.016845703125,122,88,False,642.9149969392606,0.39060399990376027
27,3.0794914739999513,1769159059713.051,1769159059713.034,0.01708984375,125,91,False,643.4211386059101,0.34087499989254866
28,3.190734144000089,1769159059812.8928,1769159059812.876,0.016845703125,128,94,False,642.6009135261356,0.34796199997799704
29,3.3026504360000217,1769159059945.9749,1769159059945.958,0.016845703125,132,98,False,642.9550526470478,0.4340230000252632
30,3.4105370100000982,1769159060045.756,1769159060045.7393,0.016845703125,135,101,False,643.1793834165014,0.6115440000939998
31,3.5383847549999246,1769159060178.7573,1769159060178.7402,0.01708984375,139,105,False,643.1914133907369,0.3455989999565645
32,3.6477395930000966,1769159060278.4778,1769159060278.4607,0.01708984375,142,108,False,643.6929203539823,0.3261200001816178
33,3.7563494359999368,1769159060378.172,1769159060378.1553,0.016845703125,145,111,False,643.2511510749624,0.34421099985593173
34,3.8627343319999454,1769159060477.8406,1769159060477.8237,0.016845703125,148,114,False,643.5562205691667,0.32576800003880635
35,3.9742079610000474,1769159060610.6914,1769159060610.6746,0.016845703125,152,118,False,642.8884803754382,0.41224899996450404
36,4.084529770000017,1769159060710.4558,1769159060710.439,0.016845703125,155,121,False,643.097761288361,0.341965999950844
37,4.194746591000012,1769159060810.516,1769159060810.4993,0.016845703125,158,124,False,643.4249892417298,0.3892759998507245
38,4.304496039000014,1769159060943.9324,1769159060943.9155,0.016845703125,162,128,False,643.0935358564375,0.35862599997926736
39,4.414900945999989,1769159061043.9966,1769159061043.9795,0.01708984375,165,131,False,642.951243071294,0.552817999960098
40,4.525125934000016,1769159061144.062,1769159061144.0452,0.016845703125,168,134,False,642.7993373072128,0.36427800000637944
41,4.636901414000022,1769159061277.4854,1769159061277.4685,0.016845703125,172,138,False,640.7407286045376,0.35066400005234755
42,4.748364707000064,1769159061377.5547,1769159061377.5378,0.016845703125,175,141,False,631.8476982848091,0.3357670000241342
43,4.859298438999986,1769159061477.6255,1769159061477.6086,0.016845703125,178,144,False,628.6116779096576,0.4296280001199193
44,4.971183511999925,1769159061611.056,1769159061611.0388,0.01708984375,182,148,False,631.5269871587169,0.3388739999081736
45,5.084304829000075,1769159061711.172,1769159061711.155,0.01708984375,185,151,False,631.8758162357169,0.3395220001038979
46,5.19509868199998,1769159061811.38,1769159061811.3628,0.01708984375,188,154,False,630.2651077578118,0.4229770001984434
